entity,rdf:type,title,date,theme,hasAuthor,isRealisedThrough,typeOfRedaction,language,hasCreator,name,personDate,enjambment,enjambmentOn,lineNumber,metre,numberOfSyllables,redactionUri,stanzaNumber,text
https://summer-school.uned.es/resources/Linea#95090702-57a0-443f-a480-ef80ec5ccadb,summerOnto:Linea,,,,,,,,,,,,,60.0,--+-+-+-+--+-,13.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,12.0,que del oro y del cetro pone olvido.
https://summer-school.uned.es/resources/Linea#d320d71c-b3a6-4656-a117-6b49d2f7511f,summerOnto:Linea,,,,,,,,,,,,,61.0,+----+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,13.0,Téngase su tesoro
https://summer-school.uned.es/resources/Linea#5bf5089f-c792-40e1-b8ae-5cc9aa4f18b8,summerOnto:Linea,,,,,,,,,,,,,62.0,---++-+---+-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,13.0,los que de un falso leño se confían;
https://summer-school.uned.es/resources/Linea#1422a03c-e9ef-493e-80bb-a26ce47b0add,summerOnto:Linea,,,,,,,,,,,,,63.0,+++-+-+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,13.0,no es mío ver el lloro
https://summer-school.uned.es/resources/Linea#85a1a927-b13a-4a76-a358-7943aa97dc3e,summerOnto:Linea,,,,,,,,,,,,,64.0,-----+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,13.0,de los que desconfían
https://summer-school.uned.es/resources/Linea#286d23ef-e9c9-46b1-a5f9-bb727124ada7,summerOnto:Linea,,,,,,,,,,,,,65.0,+--+-+-+---+-,13.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,13.0,cuando el cierzo y el ábrego porfían.
https://summer-school.uned.es/resources/Linea#eadb5f7c-846b-40b9-b718-cf2dc44e7813,summerOnto:Linea,,,,,,,,,,,sirrematic,ADJ NOUN,66.0,---+--+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,14.0,La combatida antena
https://summer-school.uned.es/resources/Linea#3d9e511b-19b8-41dc-81bf-4710b2ef00d0,summerOnto:Linea,,,,,,,,,,,,,67.0,+-+-+-+--+-+-,13.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,14.0,"cruje, y en ciega noche el claro día"
https://summer-school.uned.es/resources/Linea#166e4e4a-6749-4b77-ad2e-69fb909c5ed2,summerOnto:Linea,,,,,,,,,,,,,68.0,-+--+-+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,14.0,"se torna, al cielo suena"
https://summer-school.uned.es/resources/Linea#4cc16401-f0c5-4faf-8110-5af5ad8250c7,summerOnto:Linea,,,,,,,,,,,,,69.0,-+---+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,14.0,"confusa vocería,"
https://summer-school.uned.es/resources/Linea#bfe22d2d-a750-4e7a-98b7-63d92bab3523,summerOnto:Linea,,,,,,,,,,,,,70.0,+-+--+---+-,11.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,14.0,y la mar enriquecen a porfía.
https://summer-school.uned.es/resources/Linea#3aaa260d-6a91-4d45-92ca-b51da37c14c6,summerOnto:Linea,,,,,,,,,,,sirrematic,ADJ NOUN,71.0,--+---+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,15.0,A mí una pobrecilla
https://summer-school.uned.es/resources/Linea#484e1728-b64f-4fa1-9014-985a069b1c17,summerOnto:Linea,,,,,,,,,,,,,72.0,+---+-++--+-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,15.0,mesa de amable paz bien abastada
